,0,1,2
70,CENTRO DE ENSINO MÉDIO AVE BRANCA,-15.836372599999999,-48.0539129
71,Caic Carlos Castello Branco,-16.0128026,-48.0779226
72,CENTRO EDUCACIONAL POMPÍLIO MARQUES DE SOUZA,-15.599045799999999,-47.6829676
73,CENTRO DE ENSINO MÉDIO 01 DO PARANOÁ,-15.686935,-48.1964543
74,JARDIM DE INFÂNCIA 03 DO GAMA,-16.006584999999998,-48.051579
75,ESCOLA CLASSE 18 DE TAGUATINGA,-15.862146599999999,-48.000821599999995
76,Escola Classe 02 do Guará,-15.896268999999998,-48.0495331
77,Centro de Ensino Fundamental 10 do Gama,-16.0138596,-48.0756186
78,ESCOLA CLASSE 42 DE TAGUATINGA,-15.862146599999999,-48.000821599999995
79,CENTRO DE ENSINO FUNDAMENTAL MIGUEL ARCANJO,-15.8927445,-47.781107899999995
80,CENTRO DE ENSINO FUNDAMENTAL 02 DE CEILÂNDIA,-15.794107899999998,-48.139147099999995
81,JARDIM DE INFÂNCIA 304 NORTE,-15.7762845,-47.885775599999995
82,CENTRO EDUCACIONAL DARCY RIBEIRO,-15.762808999999999,-47.783166
83,ESCOLA CLASSE 106 NORTE,-15.7692676,-47.8838687
84,ESCOLA CLASSE CERÂMICA DA BENÇÃO,-15.904449999999999,-47.769410699999995
85,Escola Classe Riacho Fundo,-15.920651699999999,-47.988374199999996
86,Centro Educacional Incra 09,-15.767990699999999,-47.8927933
87,CENTRO DE ENSINO FUNDAMENTAL 13 DE CEILÂNDIA,-15.8490889,-48.117286
88,ESCOLA CLASSE 33 DE CEILÂNDIA,-15.832993,-48.1320124
89,ESCOLA CLASSE 403 DE SAMAMBAIA,-15.8731327,-48.0976195
90,ESCOLA CLASSE 54 DE TAGUATINGA,-15.853662799999999,-48.047996999999995
91,CENTRO DE ENSINO FUNDAMENTAL 101 DO RECANTO DAS EMAS,-15.9002152,-48.0573467
92,CENTRO DE ENSINO FUNDAMENTAL 04 DE CEILÂNDIA,-15.8284218,-48.0948031
93,CENTRO DE ENSINO FUNDAMENTAL 308 DE SANTA MARIA,-16.0271407,-48.0220427
94,ESCOLA CLASSE 10 DE SOBRADINHO,-15.6588265,-47.797031999999994
95,CENTRO DE ENSINO FUNDAMENTAL 407 DE SAMAMBAIA,-15.8749887,-48.1035891
96,CENTRO EDUCACIONAL 02 DE SOBRADINHO,-15.6482592,-47.7861884
97,CENTRO DE ENSINO FUNDAMENTAL 33 DE CEILÂNDIA,-15.840016499999999,-48.1192505
98,ESCOLA CLASSE 10 DE TAGUATINGA,-15.850055099999999,-48.047798799999995
99,CENTRO DE ENSINO MÉDIO 404 DE SANTA MARIA,-16.0343926,-48.026586099999996
100,Centro Educacional 04 de Taguatinga,-15.795520699999999,-48.057606799999995
